Origin,Timestamp,Value
Pakistan,2007.0833333330172,2803
Iran,2007.0833333330172,0
Syrian Arab Republic,2007.1666666663473,0
Afghanistan,2007.1666666663473,1477
Iraq,2007.1666666663473,7583
Lebanon,2007.1666666663473,276
Palestinian,2007.1666666663473,0
Pakistan,2007.1666666663473,2656
Iran,2007.1666666663473,0
Syrian Arab Republic,2007.2499999996774,0
Afghanistan,2007.2499999996774,1473
Iraq,2007.2499999996774,7032
Lebanon,2007.2499999996774,263
Palestinian,2007.2499999996774,0
Pakistan,2007.2499999996774,1992
Iran,2007.2499999996774,0
Syrian Arab Republic,2007.3333333330074,0
Afghanistan,2007.3333333330074,1434
Iraq,2007.3333333330074,6618
Lebanon,2007.3333333330074,277
Palestinian,2007.3333333330074,0
Pakistan,2007.3333333330074,2027
Iran,2007.3333333330074,0
Syrian Arab Republic,2007.4166666663375,0
Afghanistan,2007.4166666663375,1304
Iraq,2007.4166666663375,6720
Lebanon,2007.4166666663375,266
Palestinian,2007.4166666663375,0
Pakistan,2007.4166666663375,2361
Iran,2007.4166666663375,0
Syrian Arab Republic,2007.4999999996676,0
Afghanistan,2007.4999999996676,1269
Iraq,2007.4999999996676,7409
Lebanon,2007.4999999996676,289
Palestinian,2007.4999999996676,0
Pakistan,2007.4999999996676,2321
Iran,2007.4999999996676,0
Syrian Arab Republic,2007.5833333329977,0
Afghanistan,2007.5833333329977,1457
Iraq,2007.5833333329977,7976
Lebanon,2007.5833333329977,281
Palestinian,2007.5833333329977,0
Pakistan,2007.5833333329977,2491
Iran,2007.5833333329977,0
Syrian Arab Republic,2007.6666666663277,0
Afghanistan,2007.6666666663277,1641
Iraq,2007.6666666663277,8174
Lebanon,2007.6666666663277,261
Palestinian,2007.6666666663277,0
Pakistan,2007.6666666663277,2365
Iran,2007.6666666663277,0
Syrian Arab Republic,2007.7499999996578,0
Afghanistan,2007.7499999996578,1689
Iraq,2007.7499999996578,8014
Lebanon,2007.7499999996578,254
Palestinian,2007.7499999996578,0
Pakistan,2007.7499999996578,1976
Iran,2007.7499999996578,0
Syrian Arab Republic,2007.8333333329879,0
Afghanistan,2007.8333333329879,1650
Iraq,2007.8333333329879,7171
Lebanon,2007.8333333329879,236
Palestinian,2007.8333333329879,0
Pakistan,2007.8333333329879,1721
Iran,2007.8333333329879,0
Syrian Arab Republic,2007.916666666318,0
Afghanistan,2007.916666666318,1994
Iraq,2007.916666666318,7693
Lebanon,2007.916666666318,355
Palestinian,2007.916666666318,0
Pakistan,2007.916666666318,1674
Iran,2007.916666666318,0
Syrian Arab Republic,2007.999999999648,0
Afghanistan,2007.999999999648,2258
Iraq,2007.999999999648,7717
Lebanon,2007.999999999648,388
Palestinian,2007.999999999648,0
Pakistan,2007.999999999648,1983
Iran,2007.999999999648,0
Syrian Arab Republic,2008.083333332978,0
Afghanistan,2008.083333332978,1967
Iraq,2008.083333332978,5996
Lebanon,2008.083333332978,272
Palestinian,2008.083333332978,0
Pakistan,2008.083333332978,2010
Iran,2008.083333332978,0
Syrian Arab Republic,2008.1666666663082,0
Afghanistan,2008.1666666663082,1951
Iraq,2008.1666666663082,5296
Lebanon,2008.1666666663082,235
Palestinian,2008.1666666663082,0
Pakistan,2008.1666666663082,1986
Iran,2008.1666666663082,0
Syrian Arab Republic,2008.2499999996382,0
Afghanistan,2008.2499999996382,2063
Iraq,2008.2499999996382,5562
Lebanon,2008.2499999996382,223
Palestinian,2008.2499999996382,0
Pakistan,2008.2499999996382,1981
Iran,2008.2499999996382,0
Syrian Arab Republic,2008.3333333329683,0
Afghanistan,2008.3333333329683,2178
Iraq,2008.3333333329683,5773
Lebanon,2008.3333333329683,204
Palestinian,2008.3333333329683,0
Pakistan,2008.3333333329683,1931
Iran,2008.3333333329683,0
Syrian Arab Republic,2008.4166666662984,0
Afghanistan,2008.4166666662984,2745
Iraq,2008.4166666662984,5980
Lebanon,2008.4166666662984,187
Palestinian,2008.4166666662984,0
Pakistan,2008.4166666662984,1972
Iran,2008.4166666662984,0
Syrian Arab Republic,2008.4999999996285,0
Afghanistan,2008.4999999996285,3402
Iraq,2008.4999999996285,6420
