Country of residence,Origin,YearMonth,Values
Czech Rep.,Afghanistan,1999.1666666666667,191
Czech Rep.,Afghanistan,1999.25,106
Czech Rep.,Afghanistan,1999.3333333333333,226
Czech Rep.,Afghanistan,1999.4166666666667,179
Czech Rep.,Afghanistan,1999.5,219
Czech Rep.,Afghanistan,1999.5833333333333,111
Czech Rep.,Afghanistan,1999.6666666666667,239
Czech Rep.,Afghanistan,1999.75,219
Czech Rep.,Afghanistan,1999.8333333333333,301
Czech Rep.,Afghanistan,1999.9166666666667,262
Denmark,Afghanistan,1999.0,25
Denmark,Afghanistan,1999.0833333333333,10
Denmark,Afghanistan,1999.1666666666667,21
Denmark,Afghanistan,1999.25,45
Denmark,Afghanistan,1999.3333333333333,23
Denmark,Afghanistan,1999.4166666666667,89
Denmark,Afghanistan,1999.5,66
Denmark,Afghanistan,1999.5833333333333,19
Denmark,Afghanistan,1999.6666666666667,44
Denmark,Afghanistan,1999.75,35
Denmark,Afghanistan,1999.8333333333333,115
Denmark,Afghanistan,1999.9166666666667,41
Finland,Afghanistan,1999.0,3
Finland,Afghanistan,1999.0833333333333,2
Finland,Afghanistan,1999.1666666666667,3
Finland,Afghanistan,1999.25,1
Finland,Afghanistan,1999.4166666666667,3
Finland,Afghanistan,1999.6666666666667,3
Finland,Afghanistan,1999.75,1
Finland,Afghanistan,1999.8333333333333,8
France,Afghanistan,1999.0,15
France,Afghanistan,1999.0833333333333,14
France,Afghanistan,1999.1666666666667,15
France,Afghanistan,1999.25,6
France,Afghanistan,1999.3333333333333,7
France,Afghanistan,1999.4166666666667,11
France,Afghanistan,1999.5,15
France,Afghanistan,1999.5833333333333,18
France,Afghanistan,1999.6666666666667,9
France,Afghanistan,1999.75,17
France,Afghanistan,1999.8333333333333,19
France,Afghanistan,1999.9166666666667,17
Germany,Afghanistan,1999.0,327
Germany,Afghanistan,1999.0833333333333,337
Germany,Afghanistan,1999.1666666666667,448
Germany,Afghanistan,1999.25,382
Germany,Afghanistan,1999.3333333333333,262
Germany,Afghanistan,1999.4166666666667,301
Germany,Afghanistan,1999.5,321
Germany,Afghanistan,1999.5833333333333,379
Germany,Afghanistan,1999.6666666666667,365
Germany,Afghanistan,1999.75,437
Germany,Afghanistan,1999.8333333333333,525
Germany,Afghanistan,1999.9166666666667,416
Greece,Afghanistan,1999.0,12
Greece,Afghanistan,1999.0833333333333,9
Greece,Afghanistan,1999.25,2
Greece,Afghanistan,1999.3333333333333,27
Greece,Afghanistan,1999.5,4
Greece,Afghanistan,1999.5833333333333,1
Greece,Afghanistan,1999.6666666666667,35
Greece,Afghanistan,1999.75,14
Greece,Afghanistan,1999.8333333333333,12
Hungary,Afghanistan,1999.0,140
Hungary,Afghanistan,1999.0833333333333,44
Hungary,Afghanistan,1999.1666666666667,119
Hungary,Afghanistan,1999.25,185
Hungary,Afghanistan,1999.3333333333333,133
Hungary,Afghanistan,1999.4166666666667,184
Hungary,Afghanistan,1999.5,168
Hungary,Afghanistan,1999.5833333333333,316
Hungary,Afghanistan,1999.6666666666667,285
Hungary,Afghanistan,1999.75,192
Hungary,Afghanistan,1999.8333333333333,251
Hungary,Afghanistan,1999.9166666666667,221
Ireland,Afghanistan,1999.0,1
Ireland,Afghanistan,1999.3333333333333,1
Ireland,Afghanistan,1999.5833333333333,5
Ireland,Afghanistan,1999.6666666666667,1
Ireland,Afghanistan,1999.75,5
Luxembourg,Afghanistan,1999.0,1
Luxembourg,Afghanistan,1999.0833333333333,2
Luxembourg,Afghanistan,1999.8333333333333,3
Netherlands,Afghanistan,1999.0,349
Netherlands,Afghanistan,1999.0833333333333,231
Netherlands,Afghanistan,1999.1666666666667,256
